timepoint,common_gene_filtered,sc_filtered,cell cycle filtered,deg_hvg_filtered,st_filtered,final_excluded
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,True,False,True
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,True,True
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,True,True,False,True
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,True,True
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,True,True
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,True,True
6s,False,False,False,False,False,False
6s,False,False,False,False,True,True
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,True,True,False,True
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,True,False,True
6s,False,False,False,False,True,True
6s,False,False,False,False,True,True
6s,False,False,False,False,False,False
6s,False,False,False,True,False,True
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,True,False,True
6s,False,False,False,False,False,False
6s,True,True,False,True,False,True
6s,False,False,False,False,False,False
6s,False,False,False,False,True,True
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,True,True
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,True,True
6s,False,False,False,False,False,False
6s,False,False,False,True,False,True
6s,False,False,False,False,True,True
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,True,True
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,True,False,True
6s,True,True,False,True,False,True
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,True,True,False,True,False,True
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,True,False,True
6s,False,False,False,False,True,True
6s,False,False,False,False,False,False
6s,False,False,False,False,True,True
6s,False,False,False,False,False,False
6s,False,False,False,False,True,True
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,True,True
6s,False,False,False,True,False,True
6s,False,False,False,True,False,True
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,True,True
6s,True,True,False,True,False,True
6s,False,False,False,False,True,True
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,True,True
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,True,False,True
6s,False,False,False,True,False,True
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,True,True
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,True,False,True
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,True,True,False,True,False,True
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,True,False,True
6s,False,False,False,True,False,True
6s,False,False,False,False,False,False
6s,False,False,True,True,False,True
6s,False,False,True,True,False,True
6s,False,False,True,True,False,True
6s,False,False,True,True,False,True
6s,False,False,True,True,False,True
6s,False,False,False,True,False,True
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,True,True
6s,False,False,False,False,True,True
6s,False,False,False,True,False,True
6s,False,False,False,False,False,False
6s,True,True,False,True,False,True
6s,False,False,True,True,False,True
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,True,True
6s,False,False,False,False,False,False
6s,False,False,False,True,False,True
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,True,True
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,True,True
6s,False,False,False,False,False,False
6s,False,False,False,False,True,True
6s,False,False,False,False,True,True
6s,False,False,False,False,False,False
6s,True,True,False,True,False,True
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,True,True
6s,True,True,False,True,False,True
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,True,False,True
6s,False,False,False,False,False,False
6s,False,False,False,False,True,True
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,True,False,True
6s,False,False,False,True,False,True
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,True,True,False,True,False,True
6s,False,False,False,False,False,False
6s,False,False,False,False,True,True
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,True,False,True
6s,False,False,False,True,False,True
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,True,False,True
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,True,False,True
6s,False,False,False,False,False,False
6s,False,False,False,True,False,True
6s,False,False,False,False,True,True
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,True,True
6s,False,False,False,False,True,True
6s,False,False,False,False,True,True
6s,False,False,False,False,False,False
6s,False,False,False,True,False,True
6s,False,False,False,True,False,True
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,True,True,False,True
6s,False,False,False,False,True,True
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,True,True
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,True,True,False,True,False,True
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,True,True
6s,False,False,False,False,False,False
6s,False,False,False,False,True,True
6s,True,True,False,True,False,True
6s,False,False,False,False,True,True
6s,False,False,False,False,False,False
6s,False,False,False,True,False,True
6s,False,False,False,False,True,True
6s,False,False,False,True,False,True
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,True,True
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,True,False,True
6s,False,False,False,False,True,True
6s,False,False,False,False,True,True
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,True,True
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,True,True,False,True,False,True
6s,False,False,False,False,False,False
6s,False,False,False,False,True,True
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,True,True
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,True,True
6s,False,False,False,False,False,False
6s,True,True,False,True,False,True
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,True,True
6s,False,False,False,False,True,True
6s,False,False,False,False,True,True
6s,False,False,False,False,False,False
6s,False,False,True,True,False,True
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,True,True
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,True,True
6s,False,False,False,False,False,False
6s,True,True,False,True,False,True
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,True,False,True
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,True,False,True
6s,True,True,False,True,False,True
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,True,False,True
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
6s,False,False,False,False,False,False
